FIN_PERIOD,YEAR,MONTH,MONTH_NAME
2018-03-01,2018,3,March
2018-04-01,2018,4,April
2018-05-01,2018,5,May
2018-06-01,2018,6,June
2018-07-01,2018,7,July
2018-08-01,2018,8,August
2018-09-01,2018,9,September
2018-10-01,2018,10,October
2018-11-01,2018,11,November
2018-12-01,2018,12,December
2019-01-01,2019,1,January
2019-02-01,2019,2,February
2019-03-01,2019,3,March
2019-04-01,2019,4,April
2019-05-01,2019,5,May
2019-06-01,2019,6,June
2019-07-01,2019,7,July
2019-08-01,2019,8,August
2019-09-01,2019,9,September
2019-10-01,2019,10,October
2019-11-01,2019,11,November
2019-12-01,2019,12,December
2020-01-01,2020,1,January
