financial_month,start_date,end_date,year,month,quarter,quarter_label
2018-03,2018-02-24,2018-03-30,2018,3,1,Q1 2018
2018-04,2018-03-31,2018-04-27,2018,4,2,Q2 2018
2018-05,2018-04-28,2018-05-25,2018,5,2,Q2 2018
2018-06,2018-05-26,2018-06-29,2018,6,2,Q2 2018
2018-07,2018-06-30,2018-07-27,2018,7,3,Q3 2018
2018-08,2018-07-28,2018-08-31,2018,8,3,Q3 2018
2018-09,2018-08-25,2018-09-28,2018,9,3,Q3 2018
2018-10,2018-09-29,2018-10-26,2018,10,4,Q4 2018
2018-11,2018-10-27,2018-11-30,2018,11,4,Q4 2018
2018-12,2018-11-24,2018-12-28,2018,12,4,Q4 2018
2019-01,2018-12-29,2019-01-25,2019,1,1,Q1 2019
2019-02,2019-01-26,2019-02-22,2019,2,1,Q1 2019
2019-03,2019-02-23,2019-03-29,2019,3,1,Q1 2019
2019-04,2019-03-30,2019-04-26,2019,4,2,Q2 2019
2019-05,2019-04-27,2019-05-31,2019,5,2,Q2 2019
2019-06,2019-05-25,2019-06-28,2019,6,2,Q2 2019
2019-07,2019-06-29,2019-07-26,2019,7,3,Q3 2019
2019-08,2019-07-27,2019-08-30,2019,8,3,Q3 2019
2019-09,2019-08-31,2019-09-27,2019,9,3,Q3 2019
2019-10,2019-09-28,2019-10-25,2019,10,4,Q4 2019
2019-11,2019-10-26,2019-11-29,2019,11,4,Q4 2019
2019-12,2019-11-30,2019-12-27,2019,12,4,Q4 2019
2020-01,2019-12-28,2020-01-31,2020,1,1,Q1 2020
